Expression,Kana,Type,Accent,Chinese-Meaning,Verb-Type
ご兄弟,ごきょうだい,Noun,2,兄弟姐妹,-
お兄さん,おにいさん,Noun,2,令兄,-
お姉さん,おねえさん,Noun,2,令姐,-
弟さん,おとうとさん,Noun,4,令弟,-
妹さん,いもうとさん,Noun,4,令妹,-
お子さん,おこさん,Noun,0,孩子,-
息子さん,むすこさん,Noun,0,令郎,-
娘さん,むすめさん,Noun,0,令媛,-
体,からだ,Noun,0,身體,-
頭,あたま,Noun,3,頭,-
髪,かみ,Noun,2,頭髮,-
顔,かお,Noun,0,臉、表情,-
目,め,Noun,1,眼睛,-
耳,みみ,Noun,2,耳朵,-
鼻,はな,Noun,0,鼻子,-
喉,のど,Noun,1,喉嚨,-
口,くち,Noun,0,嘴巴,-
歯,は,Noun,1,牙齒,-
声,こえ,Noun,1,聲音,-
手,て,Noun,1,手,-
足,あし,Noun,2,腳,-
お腹,おなか,Noun,0,肚子,-
先生,せんせい,Noun,3,老師,-
教師,きょうし,Noun,1,教師,-
学生,がくせい,Noun,0,學生,-
生徒,せいと,Noun,1,學生,-
校長,こうちょう,Noun,0,校長(高中以下的校長),-
学長,がくちょう,Noun,0,校長(大學校長),-
先輩,せんぱい,Noun,0,學長、學姐、前輩,-
後輩,こうはい,Noun,0,學弟、學妹、晚輩,-
友達,ともだち,Noun,0,朋友,-
親友,しんゆう,Noun,0,摯友(親近、推心置腹的好友),-
交番,こうばん,Noun,0,警察,-
警察,けいさつ,Noun,0,警察,-
警官,けいかん,Noun,0,警察,-
お巡りさん,おまわりさん,Noun,2,警察,-
留学生,りゅうがくせい,Noun,3,留學生,-
会社員,かいしゃいん,Noun,3,公司職員,-
公務員,こうむいん,Noun,2,公務員,-
salaryman,サラリーマン,Noun,3,上班族,-
場所,ばしょ,Noun,0,場所,-
所,ところ,Noun,0,地方,-
角,かど,Noun,1,角、角落、轉角／かく是角邊,-
橋,はし,Noun,2,橋,-
店,みせ,Noun,2,店家,-
駅,えき,Noun,1,車站,-
村,むら,Noun,2,村落、村莊,-
国,くに,Noun,0,國家,-
町,まち,Noun,2,城鎮,-
道,みち,Noun,0,道路,-
庭,にわ,Noun,0,庭院,-
池,いけ,Noun,2,池塘,-
家,いえ／うち,Noun,2/0,家(いえ重音為 2，うち為 0),-
玄関,げんかん,Noun,1,玄關,-
部屋,へや,Noun,2,房間,-
廊下,ろうか,Noun,0,走廊,-
階段,かいだん,Noun,0,樓梯,-
台所,だいどころ,Noun,0,廚房,-
外国,がいこく,Noun,0,外國,-
建物,たてもの,Noun,2,建築物,-
食堂,しょくどう,Noun,0,餐廳(公司內部餐廳/學生餐廳),-
会社,かいしゃ,Noun,0,公司,-
銀行,ぎんこう,Noun,0,銀行,-
公園,こうえん,Noun,0,公園,-
病院,びょういん,Noun,0,醫院,-
学校,がっこう,Noun,0,學校,-
教室,きょうしつ,Noun,0,教室,-
職員室,しょくいんしつ,Noun,3,教職員室/辦公室,-
地下鉄,ちかてつ,Noun,0,地下鐵,-
